"#ID","Service Name","State","Service Description","Price Type","Billing Mode","Price","Tax Rate","Xero Account Name","Quickbooks Inventory Item","Unit Name","Min Price","Max Price","Service Terms","Created","Updated"
"2703634","Accounting | Budgeting & Forecasting (Monthly)","active","<p>Detailed 12 month Forecast and Budget broken down month by month.</p> <p>This includes:</p> <ul><li>Cash Flow forecast for the period</li><li>Income statement (Profit and Loss) forecast for the period</li><li>Balance sheet forecast for the period</li></ul> <p>This will be in a format suitable for presentation to your stakeholders or bank manager.</p>","fixed","automatic","2500.0","Exempt","","ACCT_FP&A_Budgeting & Forecasting","","","","","September 26, 2024 11:34 am","December 31, 2025 07:40 am"
"2703635","Accounting | Review (Quarterly)","active","<p>Motta provides <strong>Quarterly Bookkeeping Review </strong>services to help businesses maintain accurate and reliable financial records. Our review process ensures your books are well-organized, compliant, and ready for tax reporting or financial decision-making.</p><h3><strong>Our Services Include:</strong></h3><p>✅ <strong>Transaction Review</strong> – We review general ledger transactions for accuracy, completeness, and proper categorization.<br>✅ <strong>Bank &amp; Credit Card Reconciliations</strong> – We verify that bank and credit card statements match your accounting records.<br>✅ <strong>Financial Statement Analysis</strong> – We assess key financial reports, including the <strong>Balance Sheet, Profit &amp; Loss Statement, and Cash Flow Statement</strong>, for inconsistencies or errors.<br>✅ <strong>Adjusting Entries</strong> – We identify and recommend necessary adjustments, such as reclassifications or accrual entries, to improve financial accuracy.<br>✅ <strong>Compliance Check</strong> – We ensure your financial records align with applicable accounting standards and IRS regulations.<br>✅ <strong>Quarterly Review Meeting</strong> – We discuss findings, address any concerns, and provide actionable insights for financial improvement.</p><p>With our expert oversight, you gain confidence in your financial data, allowing you to make informed business decisions and streamline year-end tax preparation.</p>","fixed","manual","350.0","Exempt","","ACCT_Bookkeeping","","","","<h3><strong>1. Scope of Services</strong></h3><ul><li>We provide a <strong>quarterly review</strong> of bookkeeping records, financial statements, and reconciliations based on the data provided by the client.</li><li>This service does <strong>not</strong> include transaction entry, full bookkeeping services, payroll processing, or tax preparation unless separately agreed upon.</li><li>If bookkeeping errors or discrepancies are identified, we will recommend corrective actions but will not make direct changes unless separately engaged.</li></ul><h3><strong>2. Client Responsibilities</strong></h3><ul><li>The client must provide <strong>timely access</strong> to all relevant financial records, including bank and credit card statements, accounting software, and any supporting documentation.</li><li>The client is responsible for implementing recommended adjustments or engaging us for additional services if corrections are required.</li><li>If the client fails to provide necessary information on time, the review may be delayed or rescheduled.</li></ul><h3><strong>3. Fees &amp; Payment Terms</strong></h3><ul><li>Our fees are based on the size and complexity of the client's books and the level of review required.</li><li>Payment is due <strong>before</strong> the completion of the quarterly review unless otherwise agreed in writing.</li><li>Late payments may result in service suspension and/or additional fees.</li></ul><h3><strong>4. Review Timelines &amp; Deadlines</strong></h3><ul><li>Reviews are typically completed within <strong>[X] business days</strong> after all required documents are received.</li><li>A quarterly review meeting will be scheduled at a mutually agreed-upon time.</li></ul><h3><strong>5. Confidentiality &amp; Data Security</strong></h3><ul><li>All client data is kept confidential and secured in accordance with professional and legal standards.</li><li>We do not share client financial information with third parties without explicit authorization.</li></ul><h3><strong>6. Limitation of Liability</strong></h3><ul><li>Our review services are based on the accuracy of the financial data provided by the client. We are not responsible for errors due to incomplete or incorrect records.</li><li>We do not guarantee that the review process will identify all bookkeeping errors or fraud.</li></ul><h3><strong>7. Termination of Services</strong></h3><ul><li>Either party may terminate this agreement with <strong>[X] days' written notice</strong>.</li><li>If terminated after work has begun, the client will be billed for services rendered up to the termination date.</li></ul>","September 26, 2024 11:34 am","November 11, 2025 04:34 pm"
"2703637","Accounting | CFO Services","active","<p>The CFO advisory services are a hybrid between CFO and Controller advisory services, to assist you in standard compliance &amp; business strategic planning.</p><p>This includes:</p><ul><li>Oversee your accounting systems to ensure proper bookkeeping and reporting</li><li>Monitor the financial health and well-being of the business</li><li>Budgets and forecasts to help measure business performance</li><li>Help managing and forecasting cash flow assumptions and needs</li><li>Guidance in strategic planning relating to growth and expansion</li><li>Financial insight and guidance on all company decisions and issues</li></ul>","fixed","automatic","4000.0","Exempt","","ACCT_Bookkeeping_CFO Services","","","","","September 26, 2024 11:34 am","November 12, 2025 08:51 am"
"2703639","Accounting | Bookkeeping Services (Monthly)","active","<p>Our Monthly Bookkeeping Services are designed to provide business owners with a streamlined, accurate, and hassle-free financial management solution. We ensure your books remain organized, compliant, and up-to-date, empowering you to focus on growing your business while we handle the numbers.</p><p><strong>Our Bookkeeping Services Include:</strong></p><ol> <li> <strong>Transaction Categorization</strong> – Accurate recording and categorization of income and expenses.</li><li> <strong>Bank &amp; Credit Card Reconciliation</strong> – Regular reconciliation of all financial accounts for accuracy.</li><li> <strong>Quarterly Financial Reporting</strong> – Clear, insightful reports on your financial performance (Profit &amp; Loss, Balance Sheet, Cash Flow).</li><li> <strong>Compliance Monitoring</strong> – Ensuring all records align with federal, state, and local compliance requirements.</li><li> <strong>Dedicated Support</strong> – Ongoing email support with a 72-hour response time.</li><li> <strong>Annual Strategic Review</strong> – A yearly meeting to analyze financial trends, address concerns, and set goals for growth.</li> </ol><p><strong>Who We Serve:</strong> Our services are ideal for small to mid-sized businesses, entrepreneurs, and professionals who want peace of mind and financial clarity.</p>","fixed","automatic","500.0","Exempt","","ACCT_Bookkeeping","","","","<ol><li><strong>Scope of Work:</strong><ul><li>Services include monthly bookkeeping, reconciliations, and quarterly financial reporting.</li><li>Any additional services, such as tax filings or custom reporting, will be quoted separately.</li></ul></li><li><strong>Engagement Duration:</strong><ul><li>This agreement is for a 12-month period, automatically renewing unless terminated with a <strong>30-day written notice</strong>.</li></ul></li><li><strong>Client Responsibilities:</strong><ul><li>Timely submission of all necessary financial documents (bank statements, receipts, payroll details, etc.).</li><li>Access to financial platforms such as QuickBooks, Xero, or others as agreed upon.</li></ul></li><li><strong>Fees &amp; Payment Terms:</strong><ul><li>Monthly service fees begin at <strong>$499</strong> per month (customized based on client needs).</li><li>Payment is due on the <strong>1st of each month</strong> via secure payment link.</li><li>Late payments will incur a <strong>2% late fee</strong> after 10 days.</li></ul></li><li><strong>Confidentiality:</strong><ul><li>All financial data and records are confidential. Motta Financial adheres to strict data security protocols to protect client information.</li></ul></li><li><strong>Termination Policy:</strong><ul><li>Either party may terminate this agreement with a 30-day notice. Upon termination, Motta Financial will provide a final financial report and ensure a smooth handover of all records.</li></ul></li><li><strong>Technology Integration:</strong><ul><li>We utilize cutting-edge tools like <strong>QuickBooks Online</strong> and <strong>ALFRED Ai</strong> for efficient bookkeeping, automation, and seamless reporting.</li></ul></li><li><strong>Service Add-Ons:</strong><ul><li>Optional add-ons include payroll management, budgeting, federal income tax estimations, and customized financial analysis.</li></ul></li></ol>","September 26, 2024 11:34 am","November 11, 2025 04:42 pm"
"2703644","Payroll | Set Up & Onboarding","active","<p>Our Comprehensive Payroll Set-Up and Integration service is designed to establish a seamless and compliant payroll system for your business. We ensure your payroll processes are fully optimized, integrated, and compliant with state and federal regulations, leaving you free to focus on growing your business. Key features include:</p><ul><li> <strong>Payroll Platform Setup:</strong> Implementation of your chosen payroll platform, tailored to your business needs, including onboarding of employees and configuring payroll schedules.</li><li> <strong>System Integration:</strong> Integration of payroll software with accounting systems and business platforms (e.g., time-tracking tools, HR software) for efficient data flow and reporting.</li><li> <strong>State Compliance Registrations:</strong> Assistance with state-level registrations for payroll tax accounts, unemployment insurance, and other employer-related compliance requirements.</li><li> <strong>Direct Deposit and Payment Setup:</strong> Enabling direct deposit or other payment methods for smooth payroll processing.</li><li> <strong>Tax Withholding Configuration:</strong> Setting up accurate employee tax withholding based on the latest federal and state requirements.</li><li> <strong>Training and Support:</strong> Training your team on using the payroll platform and providing ongoing support for a smooth transition.</li></ul><p>Our payroll setup service ensures that your system is not only fully functional but also compliant, scalable, and optimized to save time and reduce administrative burdens.</p>","fixed","automatic","500.0","Exempt","","PYRL_Payroll_Onboarding","","","","<ul> <li> <strong>Scope of Work:</strong><ul><li>Includes payroll platform configuration, system integration, state compliance registrations, and employee onboarding as described. Additional services, such as multi-state payroll setup or complex integrations, may incur extra charges.</li></ul> </li> <li> <strong>Client Responsibilities:</strong><ul> <li>Provide necessary employee information, including tax forms (e.g., W-4, I-9) and payroll schedules.</li> <li>Timely submission of business information for state compliance registrations.</li> </ul> </li> <li> <strong>Payment Terms:</strong><ul><li>A deposit is required to begin the payroll setup process. The remaining balance is due upon completion. Ongoing support or consulting beyond the initial setup may be billed at an hourly rate.</li></ul> </li> <li> <strong>Compliance Disclaimer:</strong><ul><li>Motta Financial will ensure compliance based on the information provided. The client remains responsible for submitting accurate and complete data to avoid penalties or errors.</li></ul> </li> <li> <strong>Timeline:</strong><ul><li>The payroll setup process will be completed within a mutually agreed timeframe, contingent on timely submission of all required information.</li></ul> </li> <li> <strong>Confidentiality:</strong><ul><li>All payroll and employee data will be handled with the utmost confidentiality and used solely for the purposes of payroll setup and integration.</li></ul> </li> <li> <strong>Platform Compatibility:</strong><ul><li>Integration services are limited to compatible platforms. Additional fees may apply for custom or third-party solutions requiring specialized setup.</li></ul> </li> <li> <strong>Termination of Services:</strong><ul><li>Either party may terminate this agreement with written notice. Fees for work completed up to the termination date will apply.</li></ul> </li> <li> <strong>Liability:</strong><ul><li>Motta Financial is not responsible for penalties or interest resulting from non-compliance issues prior to our engagement or errors in client-provided data.</li></ul> </li> <li> <strong>Ongoing Support:</strong><ul><li>Post-setup training and support will be provided for a limited period. Extended support packages are available upon request.</li></ul> </li> </ul>","September 26, 2024 11:34 am","November 11, 2025 05:15 pm"
"2703647","Tax | Prep (1040): Federal Return (Individual)","active","<p>Our Individual 1040 Tax Preparation Service is designed to simplify the process of filing your federal and state income tax returns. We provide meticulous attention to detail to ensure compliance with all applicable tax laws while identifying opportunities to optimize your tax position. Whether your tax situation is straightforward or involves more complex factors, we deliver personalized and professional service to meet your needs. To assist you in your legal obligation to file an annual tax return. This includes:</p><ul><li>Preparation of your Individual Tax Return</li><li>Electronic filing of federal tax return to taxing authorities</li></ul><h4><strong>Scope of Services</strong></h4><ol> <li> <strong>Federal Tax Return Preparation</strong><ul><li>Preparation and filing of your federal individual income tax return (Form 1040).</li><li>Reporting of income from wages, interest, dividends, retirement accounts, and other common sources.</li></ul> </li><li> <strong>State Tax Return Preparation</strong><ul><li>Preparation and filing of one state income tax return with an add on fee for each state. </li></ul> </li><li> <strong>Deduction and Credit Maximization</strong><ul><li>Review and application of eligible deductions and credits, including but not limited to the standard or itemized deduction, education credits, child-related credits, and retirement savings contributions.</li></ul> </li><li> <strong>Tax Compliance and Accuracy</strong><ul><li>Ensuring compliance with federal and state tax laws, including proper reporting of income, deductions, and credits.</li></ul> </li><li> <strong>Client Support</strong><ul><li>Up to one hour of consultation to address questions, clarify tax strategies, or provide tax planning insights.</li></ul> </li> </ol><h4><strong>Exclusions</strong></h4><ul><li>This service does not include filing of amended returns, representation during IRS or state audits, or preparation of specialized forms (e.g., Schedule C, D, E, F) unless explicitly agreed upon in a separate engagement.</li></ul><h4><strong>Your Commitment</strong></h4><p>You are responsible for providing all necessary tax documents, including Forms W-2, 1099, 1098, prior-year tax returns, and other applicable records. Complete and accurate submission of documents ensures timely and precise preparation of your return.</p>","fixed","automatic","450.0","Exempt","","Tax_Prep_1040_Individual (Fed)","","","","<h4>&nbsp;</h4><ol>
<li>
<strong>Scope of Services</strong><ul>
<li>This engagement includes preparation and filing of your federal Form 1040 as outlined above.</li>
<li>Additional services such as preparation of amended returns, audit representation, or forms for more complex income (e.g., rental properties, investments, or self-employment) are not included unless agreed upon in advance.</li>
</ul>
</li>
<li>
<strong>Client Responsibilities</strong><ul><li>You agree to provide all required tax documents by the requested deadlines to avoid delays in filing. Missing or incomplete documentation may require an extension to be filed.</li></ul>
</li>
<li>
<strong>Confidentiality and Data Security</strong><ul><li>All information provided will be handled with the utmost confidentiality and protected by advanced data security measures.</li></ul>
</li>
<li>
<strong>Timing and Deadlines</strong><ul><li>Documents received after March 15th may result in an automatic extension filing to ensure accurate preparation of your return.</li></ul>
</li>
<li>
<strong>Termination of Services</strong><ul><li>Either party may terminate this agreement in writing prior to the completion of services. A prorated fee will be charged for work performed up to the point of termination.</li></ul>
</li>
</ol>","September 26, 2024 11:34 am","November 11, 2025 05:33 pm"
"2703652","Tax | Comprehensive Tax Assessment","active","<p>Periodic planning meetings to discuss developments and to discuss tax saving opportunities.</p>","fixed","automatic","449.0","Exempt","","TAX_Advisory_Tax Planning","","","","","September 26, 2024 11:34 am","November 11, 2025 04:52 pm"
"2703653","Accounting | Software Setup & Training","active","<p>Software setup and training of software package. This includes:</p> <ul><li>Set up of new account in Software</li><li>Full software training for 2 hours with your team optionally recorded</li></ul>","fixed","automatic","750.0","Exempt","","ACCT_Bookkeeping_Onboarding","","","","","September 26, 2024 11:34 am","November 12, 2025 03:20 pm"
"2703654","Payroll | Additional Employee","active","<p>Expanding your team? Our Bi-Weekly Payroll Add-On ensures seamless integration of additional employees into your payroll system. This service provides the same meticulous processing and compliance oversight for each new employee added to your payroll, ensuring accuracy and reliability as your team grows.</p><p>Included in this add-on:</p><ul><li> <strong>Payroll Processing</strong>: Calculation of wages, deductions, and taxes for the additional employee.</li><li> <strong>Tax Compliance</strong>: Ensuring all federal, state, and local payroll taxes for the additional employee are calculated and filed accurately.</li><li> <strong>Record Maintenance</strong>: Updates to employee records for seamless payroll integration.</li><li> <strong>Payroll Reporting</strong>: Inclusion of additional employee details in payroll summaries and reports.</li></ul>","fixed","automatic","25.0","Exempt","","PYRL_Payroll_Payroll Services","","","","<p>This add-on service covers payroll processing, tax compliance, record maintenance, and reporting for each additional employee added to the Client's payroll system.</p><p><strong>Client Responsibilities</strong><br>The Client agrees to:</p><ul><li>Provide complete and accurate data for the additional employee, including wages, hours, and tax withholding details.</li><li>Notify Motta Financial of any changes to the additional employee's status or compensation.</li></ul><p><strong>Fees</strong></p><ul><li>A fee of $25 per additional employee will be added to each payroll cycle invoice.</li><li>Fees are billed monthly and payable within fifteen (15) days of the invoice date.</li></ul><p><strong>Confidentiality</strong><br>Motta Financial will maintain confidentiality of all additional employee information and payroll data, sharing details only as required by law or authorized by the Client.</p><p><strong>Liability</strong><br>Motta Financial is not responsible for errors due to incomplete or inaccurate data provided by the Client for the additional employee.</p><p><strong>Termination</strong><br>This add-on service is subject to the terms of the primary Bi-Weekly Payroll Services agreement. Termination of the primary agreement will also terminate this add-on service.</p><p><strong>Governing Law</strong><br>This agreement is governed by the laws of [State].</p>","September 26, 2024 11:34 am","November 11, 2025 05:12 pm"
"2703658","Accounting | Financial & Management Reporting (Aider)","active","<p>Based on the information being entered and reconciled in an accounting software package.<br>We will provide you with monthly management reports and analysis, in addition to your regular bookkeeping services.&nbsp;</p><p>&nbsp;</p>","fixed","automatic","500.0","Exempt","","ACCT_FP&A_Financial Reporting","","","","","September 26, 2024 11:38 am","November 12, 2025 03:20 pm"
